,id,page_id,item,parent_id,title,debate_id,length,level,thread_id,author,platform,stance
0,1096_k_2_0000,1096,Governments should provide a universal basic income (UBI).,0,Should universal basic income be established?,dk_1096_2,58,0,1096_k_3,,kialo,neutral
1,1096_k_2_0001,1096,Economic growth is likely to slow if a UBI is implemented.,1096_k_1_0000,Should universal basic income be established?,dk_1096_2,58,1,1096_k_0015,,kialo,con
2,1096_k_2_0002,1096,Economic growth in and of itself is not good. Mindless consumerism to promote economic growth comes with a number of associated harms [1].,1096_k_2_0001,Should universal basic income be established?,dk_1096_2,138,2,1096_k_0015,,kialo,con
3,1096_k_2_0003,1096,The present UBI-less system is replete with negative externalities [2] that lead to the creation of wasteful products. It is unclear that implementing a UBI particularly worsens this.,1096_k_2_0002,Should universal basic income be established?,dk_1096_2,183,3,1096_k_0015,,kialo,pro
4,1096_k_2_0004,1096,"The pursuit of economic growth often comes at the cost of happiness, undermining a key obligation [3] of governments to ensure their citizens can live the good life.",1096_k_2_0002,Should universal basic income be established?,dk_1096_2,165,3,1096_k_0015,,kialo,pro
5,1096_k_2_0005,1096,"Economic growth is an indirect marker [4] of a government's capacity to provide, or for citizens to access, goods and services. Thus, a decrease in growth can signal that such resources are harder to come by.",1096_k_2_0002,Should universal basic income be established?,dk_1096_2,208,3,1096_k_0015,,kialo,con
6,1096_k_2_0006,1096,"A UBI stimulates [5] consumer demand capacity, which increases business turnover. This has a multiplier effect [6], so the state can recoup the cost of a UBI through taxes and productivity gains.",1096_k_2_0001,Should universal basic income be established?,dk_1096_2,195,2,1096_k_0015,,kialo,con
7,1096_k_2_0007,1096,"The 2007 economic stimulus package in Australia, of which cash handouts akin to a UBI were a key component, was a huge success [7] with large economic benefits.",1096_k_2_0006,Should universal basic income be established?,dk_1096_2,160,3,1096_k_0015,,kialo,pro
8,1096_k_2_0008,1096,"In our global economy, people don't spend all of their income domestically [8], so there is likely to be leakage of government spending with time, and a transfer of wealth between nations.",1096_k_2_0006,Should universal basic income be established?,dk_1096_2,188,3,1096_k_0015,,kialo,con
9,1096_k_2_0009,1096,"Taxing the rich -- through corporate [9] or income taxes -- may lead to a lack of motivation to run businesses and reduce government tax revenue, such that a UBI becomes unsustainable.",1096_k_2_0006,Should universal basic income be established?,dk_1096_2,184,3,1096_k_0015,,kialo,con
10,1096_k_2_0010,1096,"Widely distributing money [10] will devalue it, leading to inflation, as the currency is no longer viewed as a store of value.",1096_k_2_0001,Should universal basic income be established?,dk_1096_2,126,2,1096_k_0015,,kialo,pro
11,1096_k_2_0011,1096,That follows the assumption that a UBI would be funded by creating new money. Most of the ideas about funding a UBI do not involve creating new money [11].,1096_k_2_0010,Should universal basic income be established?,dk_1096_2,155,3,1096_k_0015,,kialo,con
12,1096_k_2_0012,1096,"Inflation could be easily addressed by regulating [12] other contributing factors, like banking.",1096_k_2_0010,Should universal basic income be established?,dk_1096_2,96,3,1096_k_0015,,kialo,con
13,1096_k_2_0013,1096,"Concerns regarding inflation caused by a UBI can be addressed by keeping the amount of money in the economy stable, leaving the amount of money spent per output constant (p. 5 [13]).",1096_k_2_0012,Should universal basic income be established?,dk_1096_2,182,4,1096_k_0015,,kialo,pro
14,1096_k_2_0014,1096,"Banking counters inflation with policies that modulate the amount of money in circulation [14]. As a UBI drastically increases the amount of money in the economy, it undermines such fiscal interventions.",1096_k_2_0012,Should universal basic income be established?,dk_1096_2,203,4,1096_k_0015,,kialo,con
15,1096_k_2_0015,1096,"If everyone has the ability to pay more but providers can also charge more, the actual purchasing power of each dollar diminishes.",1096_k_2_0010,Should universal basic income be established?,dk_1096_2,130,3,1096_k_0015,,kialo,pro
16,1096_k_2_0016,1096,"Rent is an often unregulated market that people rely upon to live; even with a UBI, rent could increase such that payments are rendered useless and wealth inequality [15] remains.",1096_k_2_0015,Should universal basic income be established?,dk_1096_2,179,4,1096_k_0015,,kialo,pro
17,1096_k_2_0017,1096,A UBI would likely have the same impact on the economy that federally subsidized loans had on college tuition [16]; costs will increase as providers know they can charge consumers more.,1096_k_2_0015,Should universal basic income be established?,dk_1096_2,185,4,1096_k_0015,,kialo,pro
18,1096_k_2_0018,1096,"There is no evidence [17] of excessive price increases with any UBI experiment, nor with minimum-wage increases, which closely mirror the economic effects of a UBI.",1096_k_2_0015,Should universal basic income be established?,dk_1096_2,164,4,1096_k_0015,,kialo,con
19,1096_k_2_0019,1096,"Unless a UBI is combined with printing extra money, there is no reason for it to lead to inflation. In fact, it could replace quantitative easing [18].",1096_k_2_0015,Should universal basic income be established?,dk_1096_2,151,4,1096_k_0015,,kialo,con
20,1096_k_2_0020,1096,"A UBI is likely to breed economic complacency and reduce productivity, as it discourages people from doing their best.",1096_k_2_0001,Should universal basic income be established?,dk_1096_2,118,2,1096_k_0015,,kialo,pro
21,1096_k_2_0021,1096,"A Negative Income Tax (NIT) [19] is a more appropriate intervention than a UBI, as it incentivises working-to-earn while maintaining the key benefits of the latter policy.",1096_k_2_0020,Should universal basic income be established?,dk_1096_2,171,3,1096_k_0015,,kialo,pro
22,1096_k_2_0022,1096,"A NIT is sufficiently able to support people such that they reap many benefits [20], from pursuing more educational opportunities to structuring their families in ways that better suit them.",1096_k_2_0021,Should universal basic income be established?,dk_1096_2,190,4,1096_k_0015,,kialo,pro
23,1096_k_2_0023,1096,"Topping up income with tax credits subsidizes [21] businesses that pay their workers less than a living wage. This ultimately harms workers, as businesses tend to pay proportionally [22] less tax.",1096_k_2_0021,Should universal basic income be established?,dk_1096_2,196,4,1096_k_0015,,kialo,con
24,1096_k_2_0024,1096,Providing a UBI will reduce the number of workers available as even fewer [23] people will be willing to complete vital but unpleasant tasks.,1096_k_2_0020,Should universal basic income be established?,dk_1096_2,141,3,1096_k_0015,,kialo,pro
25,1096_k_2_0025,1096,"People do not work solely because they're motivated by money. Research shows other motivations play a strong role, such that work seldom reduces [24] in UBI trials.",1096_k_2_0024,Should universal basic income be established?,dk_1096_2,164,4,1096_k_0015,,kialo,con
26,1096_k_2_0026,1096,A UBI would not be a high income; there would still be plenty of people motivated [25] to work more to earn a higher income and achieve their dreams.,1096_k_2_0025,Should universal basic income be established?,dk_1096_2,149,5,1096_k_0015,,kialo,pro
27,1096_k_2_0027,1096,"Work provides many benefits [26] beyond income. Interaction with other people, schedule, innovation, purpose, etc. An idle mind is the devil's workshop.",1096_k_2_0025,Should universal basic income be established?,dk_1096_2,152,5,1096_k_0015,,kialo,pro
28,1096_k_2_0028,1096,"In Saudi Arabia, they struggle [27] to get their citizens [28] to work in physical labor or care work because they receive a UBI, with the labor market gaps often filled by foreign workers.",1096_k_2_0025,Should universal basic income be established?,dk_1096_2,189,5,1096_k_0015,,kialo,con
