,id,page_id,item,parent_id,title,length,level,thread_id,references,author,platform
1065,1096_0_0_0000,1096,Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.,0,Should we colonize Mars?,271,1,1096_0001,0.0,"['Dan Polansky', 'Danib93']",wiki
1066,1096_0_0_0001,1096,"Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.",0,Should we colonize Mars?,219,1,1096_0002,0.0,"['Dan Polansky', 'Danib93']",wiki
1067,1096_0_0_0002,1096,"With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.",0,Should we colonize Mars?,131,1,1096_0003,0.0,"['Dan Polansky', 'Danib93']",wiki
1068,1096_0_0_0003,1096,"We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.",1000_0_0_0002,Should we colonize Mars?,247,2,1096_0003,0.0,['Dan Polansky'],wiki
1069,1096_11_1_0000,1096,"UBI harms incentive to work. With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse. (This is approximately Con 3 from procon.org.)",0,Should we colonize Mars?,455,1,1096_0004,1.0,"['Danib93', 'Dan Polansky']",wiki
1070,1096_9_1_0000,1096,"While that sounds plausible enough as an abstract argument, a proper scientific argument would be evidence-based, showing results of actual UBI experiment.",1000_11_1_0000,Should we colonize Mars?,155,2,1096_0004,0.0,"['Dan Polansky', 'Danib93']",wiki
1071,1096_9_1_0001,1096,"Fair enough. However, the argument is very likely correct even without a formal scientifically controlled experiment given the general human experience.",1000_9_1_0000,Should we colonize Mars?,152,3,1096_0004,0.0,"['Dan Polansky', 'Danib93']",wiki
1072,1096_3_1_0000,1096,"""Universal Basic Income (UBI) takes money from the poor and gives it to everyone, increasing poverty and depriving the poor of much needed targeted support.""Universal Basic Income Pros and Cons - Top 3 Arguments For and Against, procon.org by Encyclopedia Britannica",0,Should we colonize Mars?,266,1,1096_0005,1.0,"['Dan Polansky', 'Danib93']",wiki
1073,1096_3_1_0001,1096,"Untrue if each person gets the same amount of cash or the amount is based on location (greater in more expansive places?) while the amount each person or economic entity contributes to the bucket is based on percent rate of their income. And that is the expected implementation, based on the current redistribution methods: the greater the earning, the greater the tax contribution, but not the greater the healthcare provided, schooling for children provided and old age pensions provided. The sensitivity of the redistributed value to earnings of the recipient provided depends on countries (old age pensions are usually more sensitive than healthcare and education), but what all usual redistributives schemes have in common is that they are institutional Robin Hood: take from the rich and give to the poor, and UBI is no exception.",1000_3_1_0000,Should we colonize Mars?,836,2,1096_0005,0.0,"['Dan Polansky', 'Danib93']",wiki
1074,1096_13_1_0000,1096,"The intent of the argument was different: let us assume we collected a fixed bucket to redistribute via taxes. Let us then consider among how many people to redistribute this, whether to everyone or whether to the layer of the poorest. Since the latter group is smaller, one person in that group gets a higher amount in that option. Thus, switching from poor-only quasi-UBI to true UBI takes money from the poor (money that the poor would otherwise receive) and gives it to the less-poor.",1000_3_1_0001,Should we colonize Mars?,488,3,1096_0005,0.0,['Dan Polansky'],wiki
