,revid,parentid,user,timestamp,size,content,comment,minor,tags,anon
0,2461328,0,Dan Polansky,2022-12-20T08:32:20Z,1571,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information label, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.

==Further reading==
* [[W:Universal basic income]]

[[Category:Economics]]","New resource with ""{{Wikidebate}}  Should universal basic income (UBI) be established?  ==Universal basic income should be established==  ===For===  * {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity. * {{Argument for}} Universal basic income would increa...""",0,[],0
1,2461329,2461328,Dan Polansky,2022-12-20T08:33:17Z,1570,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.

==Further reading==
* [[W:Universal basic income]]

[[Category:Economics]]",,0,[],0
2,2461330,2461329,Dan Polansky,2022-12-20T08:36:23Z,1919,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.

==Further reading==
* [[W:Universal basic income]]
* [https://www.procon.org/headlines/universal-basic-income-top-3-pros-and-cons/ Universal Basic Income Pros and Cons - Top 3 Arguments For and Against], procon.org by Encyclopedia Britannica
* [https://college.unc.edu/2021/03/universal-basic-income/ The pros and cons of universal basic income - College of Arts and Sciences], 2021, college.unc.edu

[[Category:Economics]]",,0,[],0
3,2461331,2461330,Dan Polansky,2022-12-20T08:42:09Z,2849,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.
* {{Argument against}} ""Universal Basic Income (UBI) takes money from the poor and gives it to everyone, increasing poverty and depriving the poor of much needed targeted support.""
** {{Objection}} Untrue if each person gets the same amount of cash or the amount is based on location (greater in more expansive places?) while the amount each person or economic entity contributes to the bucket is based on percent rate of their income. And that is the expected implementation, based on the current redistribution methods: the greater the earning, the greater the tax contribution, but not the greater the healthcare provided, schooling for children provided and old age pensions provided. The sensitivity of the redistributed value provided depends on countries, but what all usual redistributives schemes have in common is that they are institutional Robin Hood: take from the rich and give to the poor, and UBI is no exception.

==Further reading==
* [[W:Universal basic income]]
* [https://www.procon.org/headlines/universal-basic-income-top-3-pros-and-cons/ Universal Basic Income Pros and Cons - Top 3 Arguments For and Against], procon.org by Encyclopedia Britannica
* [https://college.unc.edu/2021/03/universal-basic-income/ The pros and cons of universal basic income - College of Arts and Sciences], 2021, college.unc.edu

[[Category:Economics]]",,0,[],0
4,2461332,2461331,Dan Polansky,2022-12-20T08:43:37Z,2954,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.
* {{Argument against}} ""Universal Basic Income (UBI) takes money from the poor and gives it to everyone, increasing poverty and depriving the poor of much needed targeted support.""
** {{Objection}} Untrue if each person gets the same amount of cash or the amount is based on location (greater in more expansive places?) while the amount each person or economic entity contributes to the bucket is based on percent rate of their income. And that is the expected implementation, based on the current redistribution methods: the greater the earning, the greater the tax contribution, but not the greater the healthcare provided, schooling for children provided and old age pensions provided. The sensitivity of the redistributed value to earnings of the recipient provided depends on countries (old age pensions are usually more sensitive than healthcare and education), but what all usual redistributives schemes have in common is that they are institutional Robin Hood: take from the rich and give to the poor, and UBI is no exception.

==Further reading==
* [[W:Universal basic income]]
* [https://www.procon.org/headlines/universal-basic-income-top-3-pros-and-cons/ Universal Basic Income Pros and Cons - Top 3 Arguments For and Against], procon.org by Encyclopedia Britannica
* [https://college.unc.edu/2021/03/universal-basic-income/ The pros and cons of universal basic income - College of Arts and Sciences], 2021, college.unc.edu

[[Category:Economics]]",,0,[],0
5,2461333,2461332,Dan Polansky,2022-12-20T08:50:07Z,3665,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} UBI harms incentive to work. With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.
* {{Argument against}} ""Universal Basic Income (UBI) takes money from the poor and gives it to everyone, increasing poverty and depriving the poor of much needed targeted support.""
** {{Objection}} Untrue if each person gets the same amount of cash or the amount is based on location (greater in more expansive places?) while the amount each person or economic entity contributes to the bucket is based on percent rate of their income. And that is the expected implementation, based on the current redistribution methods: the greater the earning, the greater the tax contribution, but not the greater the healthcare provided, schooling for children provided and old age pensions provided. The sensitivity of the redistributed value to earnings of the recipient provided depends on countries (old age pensions are usually more sensitive than healthcare and education), but what all usual redistributives schemes have in common is that they are institutional Robin Hood: take from the rich and give to the poor, and UBI is no exception.
** {{Objection}} Expanding on the above, there is nothing unfair about high earners receiving UBI as well since they overpay that in their taxes. The difference between quasi-UBI sensitive to the income of the recipient and true UBI is quantitatively not very great, both redistributing from rich to poor, or earning to non-earning.
*** {{Objection}} If the rich evade paying taxes (and they have enough money to pay specialists to help them do that), they will get UBI while not paying much in taxes.
**** {{Objection}} Pretty much a non-issue: The tax revenue loss from the tax-evading rich is a much greater problem than the relatively tiny amount of UBI a rich person receives.

==Further reading==
* [[W:Universal basic income]]
* [https://www.procon.org/headlines/universal-basic-income-top-3-pros-and-cons/ Universal Basic Income Pros and Cons - Top 3 Arguments For and Against], procon.org by Encyclopedia Britannica
* [https://college.unc.edu/2021/03/universal-basic-income/ The pros and cons of universal basic income - College of Arts and Sciences], 2021, college.unc.edu

[[Category:Economics]]",,0,[],0
6,2461334,2461333,Dan Polansky,2022-12-20T09:24:04Z,4110,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} UBI harms incentive to work. With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.
* {{Argument against}} ""Universal Basic Income (UBI) takes money from the poor and gives it to everyone, increasing poverty and depriving the poor of much needed targeted support.""
** {{Objection}} Untrue if each person gets the same amount of cash or the amount is based on location (greater in more expansive places?) while the amount each person or economic entity contributes to the bucket is based on percent rate of their income. And that is the expected implementation, based on the current redistribution methods: the greater the earning, the greater the tax contribution, but not the greater the healthcare provided, schooling for children provided and old age pensions provided. The sensitivity of the redistributed value to earnings of the recipient provided depends on countries (old age pensions are usually more sensitive than healthcare and education), but what all usual redistributives schemes have in common is that they are institutional Robin Hood: take from the rich and give to the poor, and UBI is no exception.
** {{Objection}} Expanding on the above, there is nothing unfair about high earners receiving UBI as well since they overpay that in their taxes. The difference between quasi-UBI sensitive to the income of the recipient and true UBI is quantitatively not very great, both redistributing from rich to poor, or earning to non-earning. The main difference between the quasi-UBI and true UBI is that true UBI is super simple to implement and administer, lacking all differentiation.
*** {{Objection}} If the rich evade paying taxes (and they have enough money to pay specialists to help them do that), they will get UBI while not paying much in taxes.
**** {{Objection}} Pretty much a non-issue: The tax revenue loss from the tax-evading rich is a much greater problem than the relatively tiny amount of UBI a rich person receives.
*** {{Objection}} The recipient-income-sensitive quasi-UBI does not create so big disincentive to work.
**** {{Objection}} It still creates disincentive for low-paying jobs, often taken by the poorest people: someone still needs to do a bus driver, a supermarket clerk, and do a garbage collection.

==Further reading==
* [[W:Universal basic income]]
* [https://www.procon.org/headlines/universal-basic-income-top-3-pros-and-cons/ Universal Basic Income Pros and Cons - Top 3 Arguments For and Against], procon.org by Encyclopedia Britannica
* [https://college.unc.edu/2021/03/universal-basic-income/ The pros and cons of universal basic income - College of Arts and Sciences], 2021, college.unc.edu

[[Category:Economics]]",,0,[],0
7,2461335,2461334,Dan Polansky,2022-12-20T09:25:32Z,4208,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} UBI harms incentive to work. With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.
* {{Argument against}} ""Universal Basic Income (UBI) takes money from the poor and gives it to everyone, increasing poverty and depriving the poor of much needed targeted support.""
** {{Objection}} Untrue if each person gets the same amount of cash or the amount is based on location (greater in more expansive places?) while the amount each person or economic entity contributes to the bucket is based on percent rate of their income. And that is the expected implementation, based on the current redistribution methods: the greater the earning, the greater the tax contribution, but not the greater the healthcare provided, schooling for children provided and old age pensions provided. The sensitivity of the redistributed value to earnings of the recipient provided depends on countries (old age pensions are usually more sensitive than healthcare and education), but what all usual redistributives schemes have in common is that they are institutional Robin Hood: take from the rich and give to the poor, and UBI is no exception.
** {{Objection}} Expanding on the above, there is nothing unfair about high earners receiving UBI as well since they overpay that in their taxes. The difference between quasi-UBI sensitive to the income of the recipient and true UBI is quantitatively not very great, both redistributing from rich to poor, or earning to non-earning. The main difference between the quasi-UBI and true UBI is that true UBI is super simple to implement and administer, lacking all differentiation.
*** {{Objection}} If the rich evade paying taxes (and they have enough money to pay specialists to help them do that), they will get UBI while not paying much in taxes.
**** {{Objection}} Pretty much a non-issue: The tax revenue loss from the tax-evading rich is a much greater problem than the relatively tiny amount of UBI a rich person receives.
*** {{Objection}} The recipient-income-sensitive quasi-UBI does not create so big disincentive to work.
**** {{Objection}} It still creates disincentive for low-paying jobs, often taken by the poorest people: someone still needs to do a bus driver, a supermarket clerk, and do a garbage collection. And such low-paying jobs are likely to be hit the hardest by UBI, as for the disincentive effect.

==Further reading==
* [[W:Universal basic income]]
* [https://www.procon.org/headlines/universal-basic-income-top-3-pros-and-cons/ Universal Basic Income Pros and Cons - Top 3 Arguments For and Against], procon.org by Encyclopedia Britannica
* [https://college.unc.edu/2021/03/universal-basic-income/ The pros and cons of universal basic income - College of Arts and Sciences], 2021, college.unc.edu

[[Category:Economics]]",,0,[],0
8,2461336,2461335,Dan Polansky,2022-12-20T09:32:57Z,5055,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} UBI harms incentive to work. With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.
* {{Argument against}} ""Universal Basic Income (UBI) takes money from the poor and gives it to everyone, increasing poverty and depriving the poor of much needed targeted support.""
** {{Objection}} Untrue if each person gets the same amount of cash or the amount is based on location (greater in more expansive places?) while the amount each person or economic entity contributes to the bucket is based on percent rate of their income. And that is the expected implementation, based on the current redistribution methods: the greater the earning, the greater the tax contribution, but not the greater the healthcare provided, schooling for children provided and old age pensions provided. The sensitivity of the redistributed value to earnings of the recipient provided depends on countries (old age pensions are usually more sensitive than healthcare and education), but what all usual redistributives schemes have in common is that they are institutional Robin Hood: take from the rich and give to the poor, and UBI is no exception.
*** {{Objection}} The intent of the argument was different: let us assume we collected a fixed bucket to redistribute via taxes. Let us then consider among how many people to redistribute this, whether to everyone or whether to the layer of the poorest. Since the latter group is smaller, one person in that group gets a higher amount in that option. Thus, switching from poor-only quasi-UBI to true UBI takes money from the poor (money that the poor would otherwise receive) and gives it to the less-poor.
**** {{Objection}} Fair enough. However, that assumes a fixed bucket to start with. A true-UBI scheme would collect higher taxes than a poor-only quasi-UBI scheme to achieve parity. A true UBI delivers all the benefits of true UBI, including genuine freedom of speech and forcing employers to create decent working conditions for everyone.
** {{Objection}} Expanding on the above, there is nothing unfair about high earners receiving UBI as well since they overpay that in their taxes. The difference between quasi-UBI sensitive to the income of the recipient and true UBI is quantitatively not very great, both redistributing from rich to poor, or earning to non-earning. The main difference between the quasi-UBI and true UBI is that true UBI is super simple to implement and administer, lacking all differentiation.
*** {{Objection}} If the rich evade paying taxes (and they have enough money to pay specialists to help them do that), they will get UBI while not paying much in taxes.
**** {{Objection}} Pretty much a non-issue: The tax revenue loss from the tax-evading rich is a much greater problem than the relatively tiny amount of UBI a rich person receives.
*** {{Objection}} The recipient-income-sensitive quasi-UBI does not create so big disincentive to work.
**** {{Objection}} It still creates disincentive for low-paying jobs, often taken by the poorest people: someone still needs to do a bus driver, a supermarket clerk, and do a garbage collection. And such low-paying jobs are likely to be hit the hardest by UBI, as for the disincentive effect.

==Further reading==
* [[W:Universal basic income]]
* [https://www.procon.org/headlines/universal-basic-income-top-3-pros-and-cons/ Universal Basic Income Pros and Cons - Top 3 Arguments For and Against], procon.org by Encyclopedia Britannica
* [https://college.unc.edu/2021/03/universal-basic-income/ The pros and cons of universal basic income - College of Arts and Sciences], 2021, college.unc.edu

[[Category:Economics]]",,0,[],0
9,2461373,2461336,Dan Polansky,2022-12-20T14:27:48Z,5399,"{{Wikidebate}}

Should universal basic income (UBI) be established?

==Universal basic income should be established==

===For===

* {{Argument for}} Universal basic income would provide human dignity. No one would need to be forced to accept undesirable job just to stay alive. Employers would need to establish working conditions such that people want to work in them without the implied coercion of economic necessity.
* {{Argument for}} Universal basic income would increase actual freedom of speech, as opposed to formal (legal) freedom of speech. Since, outspoken critics and voicers of controversial opinions would not need to fear for their livelihood.
* {{Argument for}} With increasing automation of not only manual labor but also administrative and information work, universal basic income is a must.
** {{Objection}} We can consider UBI seriously once the automation advances far beyond where it is today. There is still too much not really pleasant work that needs to be done, and it can only be done in presence of economic incentive to overcome the displeasure.

===Against===

* {{Argument against}} UBI harms incentive to work. With universal basic income, great many people would stop working in payed (and needed) jobs. While some people work for other reasons than money, a lot of work that needs to be done involves elements of displeasure: it can either be or become routine, tedious, boring, take place in not entirely pleasant environment, etc. The result would be inflation and an economic collapse.
** {{Objection}} While that sounds plausible enough as an abstract argument, a proper scientific argument would be evidence-based, showing results of actual UBI experiment.
*** {{Objection}} Fair enough. However, the argument is very likely correct even without a formal scientifically controlled experiment given the general human experience.
* {{Argument against}} ""Universal Basic Income (UBI) takes money from the poor and gives it to everyone, increasing poverty and depriving the poor of much needed targeted support.""
** {{Objection}} Untrue if each person gets the same amount of cash or the amount is based on location (greater in more expansive places?) while the amount each person or economic entity contributes to the bucket is based on percent rate of their income. And that is the expected implementation, based on the current redistribution methods: the greater the earning, the greater the tax contribution, but not the greater the healthcare provided, schooling for children provided and old age pensions provided. The sensitivity of the redistributed value to earnings of the recipient provided depends on countries (old age pensions are usually more sensitive than healthcare and education), but what all usual redistributives schemes have in common is that they are institutional Robin Hood: take from the rich and give to the poor, and UBI is no exception.
*** {{Objection}} The intent of the argument was different: let us assume we collected a fixed bucket to redistribute via taxes. Let us then consider among how many people to redistribute this, whether to everyone or whether to the layer of the poorest. Since the latter group is smaller, one person in that group gets a higher amount in that option. Thus, switching from poor-only quasi-UBI to true UBI takes money from the poor (money that the poor would otherwise receive) and gives it to the less-poor.
**** {{Objection}} Fair enough. However, that assumes a fixed bucket to start with. A true-UBI scheme would collect higher taxes than a poor-only quasi-UBI scheme to achieve parity. A true UBI delivers all the benefits of true UBI, including genuine freedom of speech and forcing employers to create decent working conditions for everyone.
** {{Objection}} Expanding on the above, there is nothing unfair about high earners receiving UBI as well since they overpay that in their taxes. The difference between quasi-UBI sensitive to the income of the recipient and true UBI is quantitatively not very great, both redistributing from rich to poor, or earning to non-earning. The main difference between the quasi-UBI and true UBI is that true UBI is super simple to implement and administer, lacking all differentiation.
*** {{Objection}} If the rich evade paying taxes (and they have enough money to pay specialists to help them do that), they will get UBI while not paying much in taxes.
**** {{Objection}} Pretty much a non-issue: The tax revenue loss from the tax-evading rich is a much greater problem than the relatively tiny amount of UBI a rich person receives.
*** {{Objection}} The recipient-income-sensitive quasi-UBI does not create so big disincentive to work.
**** {{Objection}} It still creates disincentive for low-paying jobs, often taken by the poorest people: someone still needs to do a bus driver, a supermarket clerk, and do a garbage collection. And such low-paying jobs are likely to be hit the hardest by UBI, as for the disincentive effect.

==Further reading==
* [[W:Universal basic income]]
* [https://www.procon.org/headlines/universal-basic-income-top-3-pros-and-cons/ Universal Basic Income Pros and Cons - Top 3 Arguments For and Against], procon.org by Encyclopedia Britannica
* [https://college.unc.edu/2021/03/universal-basic-income/ The pros and cons of universal basic income - College of Arts and Sciences], 2021, college.unc.edu

[[Category:Economics]]",,0,[],0
